Student_ID	Year	Semester	Course_Number 	Average_Assignment 	Average_Quizzes 	Average_Projects	Average_Exams
804958	2013	fall	CS121	90	87	87	85
804958	2014	spring	CS251	80	76	76	75
298099	2012	fall	CS121	78	76	78	89
298099	2013	spring	CS251	85	87	86	85
746479	2012	fall	CS121	96	95	96	93
746479	2013	spring	CS251	77	78	77	80
137152	2010	fall	CS121	93	95	93	96
137152	2011	spring	CS251	96	94	97	93
827891	2011	fall	CS121	79	78	76	76
827891	2012	spring	CS251	79	81	76	74
372254	2012	fall	CS121	76	81	83	78
372254	2013	spring	CS251	78	79	65	75
709957	2014	fall	CS121	76	75	76	84
709957	2015	spring	CS251	76	69	76	78
490458	2015	fall	CS121	89	87	89	86
490458	2016	spring	CS251	89	91	81	89
864248	2015	fall	CS121	85	84	85	86
864248	2016	spring	CS251	85	85	84	85
086198	2010	fall	CS121	98	97	95	94
086198	2011	spring	CS251	94	94	96	91
224470	2010	fall	CS121	100	96	95	96
224470	2012	spring	CS251	100	97	97	95
640177	2012	fall	CS121	87	87	86	91
640177	2013	spring	CS251	86	92	91	87
412779	2011	fall	CS121	87	86	86	87
412779	2012	spring	CS251	87	85	85	89
775879	2011	fall	CS121	67	68	65	69
775879	2012	spring	CS251	67	68	69	65
162571	2014	fall	CS121	90	97	90	85
162571	2015	spring	CS251	96	95	97	94
819681	2016	fall	CS121	87	89	86	89
819681	2017	spring	CS251	92	91	87	89
849625	2014	fall	CS121	87	89	87	86
849625	2015	spring	CS251	85	86	91	86
289648	2016	fall	CS121	67	68	64	69
289648	2017	spring	CS251	71	67	68	69
224196	2012	fall	CS121	90	97	86	91
224196	2013	spring	CS251	96	94	91	93
021526	2014	fall	CS121	84	82	85	86
021526	2015	spring	CS251	85	85	86	86
729945	2015	fall	CS121	96	93	96	97
729945	2016	spring	CS251	95	97	94	96
916331	2010	fall	CS121	87	85	85	83
916331	2011	spring	CS251	91	85	86	83
359779	2012	fall	CS121	74	78	78	74
359779	2013	spring	CS251	73	81	74	79
660275	2014	fall	CS121	89	89	91	87
660275	2015	spring	CS251	88	85	83	86
219981	2013	fall	CS121	85	79	80	84
219981	2014	spring	CS251	92	94	84	93
369046	2015	fall	CS121	95	96	92	91
369046	2016	spring	CS251	99	94	95	98
893445	2011	fall	CS121	100	98	95	91
893445	2012	spring	CS251	87	86	86	87
220530	2013	fall	CS121	87	85	85	89
220530	2014	spring	CS251	67	68	65	69
944532	2015	fall	CS121	67	68	69	65
944532	2016	spring	CS251	90	97	90	85
600335	2012	fall	CS121	96	95	97	94
600335	2013	spring	CS251	67	68	64	70
993180	2012	fall	CS121	71	60	68	69
993180	2014	spring	CS251	90	97	86	91
380861	2012	fall	CS121	96	94	91	93
380861	2013	spring	CS251	84	82	84	86
713257	2014	fall	CS121	85	85	86	86
713257	2015	spring	CS251	90	97	90	85
525771	2012	fall	CS121	96	95	97	94
525771	2014	spring	CS251	87	89	86	89
586536	2013	fall	CS121	92	90	87	89
586536	2014	spring	CS251	87	89	79	86
409448	2014	fall	CS121	85	86	91	86
409448	2015	spring	CS251	67	68	64	69
825364	2011	fall	CS121	78	67	68	69
825364	2012	spring	CS251	90	97	86	91
006786	2013	fall	CS121	94	94	91	93
006786	2014	spring	CS251	84	82	85	86
741464	2011	fall	CS121	85	85	86	90
741464	2012	spring	CS251	63	67	57	60
054236	2012	fall	CS121	96	95	94	95
054236	2013	spring	CS251	87	91	94	96
127845	2014	fall	CS121	96	94	91	93
127845	2015	spring	CS251	84	82	84	86
028977	2012	fall	CS121	85	85	86	86
028977	2014	spring	CS251	90	97	90	85
861998	2011	fall	CS121	96	95	97	94
861998	2013	spring	CS251	87	89	86	89
415162	2014	fall	CS121	92	90	87	89
415162	2015	spring	CS251	87	89	75	86
107673	2013	fall	CS121	79	78	76	76
107673	2011	spring	CS251	76	81	76	74
180458	2012	fall	CS121	76	81	83	78
180458	2014	spring	CS251	78	78	65	75
236565	2013	fall	CS121	76	75	76	84
236565	2014	spring	CS251	76	69	76	78
221223	2013	fall	CS121	92	90	87	89
221223	2014	spring	CS251	87	89	75	86
109747	2015	fall	CS121	79	78	76	76
109747	2016	spring	CS251	76	81	76	74
213476	2011	fall	CS121	76	81	83	78
213476	2012	spring	CS251	78	78	65	75
